Marime folder hashuit :650 Mb
Tip de hash | Timp(secunde) 3 rulari | Media  |
Md5(2048)   | 28.449 26.895 27.679   | 27.674 |
Md5(256)    | 28.586 28.603 29.219   | 28.802 |
Md5(512)    | 28.825 31.723 28.899   | 29.815 |
Md5(1024)   | 34.874 29.112 28.176   | 30.724 |
Md5(128)    | 32.757 31.723 33.744   | 32.741 |
Md5(4096)   | 43.057 29.019 27.607   | 33.227 |
Md5(all)    | 49.442 41.596 37.729   | 42.922 |
Md5(8192)   | 51.772 48.105 30.097   | 43.324 |
Md(8)       | 144.467 142.766 ???????|????????|
===============================================
Am considerat ca 4096 bytes sunt de ajuns pentu a observa diferenta de viteza
Md4         | 37.848 27.442 30.622   | 31.706 |
Md5         | 43.057 29.019 27.607   | 33.227 |
Sha384      | 34.943 34.010 33.781   | 34.244 |
Sha512      | 36.717 33.564 34.243   | 34.841 |
Keccak_256  | 41.413 40.904 40.844   | 41.053 |
Keccak_224  | 38.827 42.467 43.309   | 41.534 |
Sha3_256    | 43.186 41.091 41.378   | 41.885 |
Sha256      | 46.894 42.868 47.200   | 45.654 |
Sha3_384    | 48.218 46.585 46.446   | 47.083 |
Keccak_384  | 49.977 46.602 47.142   | 47.907 |
Sha224      | 60.908 42.041 42.421   | 48.456 |
Sha3_224    | 40.847 39.303 82.326   | 54.158 |
Sha1        | 72.596 51.077 45.993   | 56.555 |
Keccak_512  | 59.231 59.670 72.660   | 63.853 |
Sha3_512    | 60.409 73.032 59.005   | 64.148 |
